syllable,structure,group,isSpecial
a,V,1,0
e,V,1,0
i,V,1,0
o,V,1,0
u,V,1,0
ū,V,1,0
na,CV,1,0
ne,CV,1,0
ni,CV,1,0
no,CV,1,0
nu,CV,1,0
nū,CV,1,0
ka,CV,1,0
ga,CV,1,0
ha,CV,1,0
ko,CV,1,0
go,CV,1,0
ho,CV,1,0
kū,CV,1,0
gū,CV,1,0
hū,CV,1,0
ba,CV,1,0
be,CV,1,0
bi,CV,1,0
bo,CV,1,0
bu,CV,1,0
bū,CV,1,0
pa,CV,1,0
pe,CV,1,0
pi,CV,1,0
po,CV,1,0
pu,CV,1,0
pū,CV,1,0
sa,CV,1,0
se,CV,1,0
si,CV,1,0
so,CV,1,0
su,CV,1,0
sū,CV,1,0
ša,CV,1,0
še,CV,1,0
ši,CV,1,0
šo,CV,1,0
šu,CV,1,0
šū,CV,1,0
ta,CV,1,0
da,CV,1,0
te,CV,1,0
de,CV,1,0
ti,CV,1,0
di,CV,1,0
to,CV,1,0
do,CV,1,0
tu,CV,1,0
du,CV,1,0
la,CV,1,0
le,CV,1,0
li,CV,1,0
lo,CV,1,0
lu,CV,1,0
lū,CV,1,0
ma,CV,1,0
me,CV,1,0
mi,CV,1,0
mo,CV,1,0
mu,CV,1,0
mū,CV,1,0
ca,CV,1,0
ce,CV,1,0
ci,CV,1,0
co,CV,1,0
cu,CV,1,0
cū,CV,1,0
ja,CV,1,0
je,CV,1,0
ji,CV,1,0
jo,CV,1,0
ju,CV,1,0
jū,CV,1,0
ya,CV,1,0
ye,CV,1,0
yo,CV,1,0
yu,CV,1,0
yū,CV,1,0
ke,CV,1,0
ge,CV,1,0
he,CV,1,0
ki,CV,1,0
gi,CV,1,0
hi,CV,1,0
ku,CV,1,0
gu,CV,1,0
hu,CV,1,0
k'a,CV,1,1
g'a,CV,1,1
h'a,CV,1,1
k'o,CV,1,1
g'o,CV,1,1
h'o,CV,1,1
ra,CV,1,0
re,CV,1,0
ri,CV,1,0
ro,CV,1,0
ru,CV,1,0
rū,CV,1,0
fa,CV,1,0
fe,CV,1,0
fi,CV,1,0
fo,CV,1,0
fu,CV,1,0
fū,CV,1,0
wa,CV,1,0
we,CV,1,0
ts'a,CV,1,1
ts'e,CV,1,1
ts'i,CV,1,1
ts'o,CV,1,1
ts'u,CV,1,1
dza,CV,1,1
dze,CV,1,1
dzi,CV,1,1
dzo,CV,1,1
dzu,CV,1,1
ža,CV,1,1
že,CV,1,1
ži,CV,1,1
žo,CV,1,1
žu,CV,1,1
žū,CV,1,1
sy,CV,1,1
c'y,CV,1,1
jy,CV,1,1
an,VC,3,0
en,VC,3,0
in,VC,3,0
on,VC,3,0
un,VC,3,0
ūn,VC,3,0
nan,CVC,3,0
nen,CVC,3,0
nin,CVC,3,0
non,CVC,3,0
nun,CVC,3,0
nūn,CVC,3,0
kan,CVC,3,0
gan,CVC,3,0
han,CVC,3,0
kon,CVC,3,0
gon,CVC,3,0
hon,CVC,3,0
kūn,CVC,3,0
gūn,CVC,3,0
hūn,CVC,3,0
ban,CVC,3,0
ben,CVC,3,0
bin,CVC,3,0
bon,CVC,3,0
bun,CVC,3,0
būn,CVC,3,0
pan,CVC,3,0
pen,CVC,3,0
pin,CVC,3,0
pon,CVC,3,0
pun,CVC,3,0
pūn,CVC,3,0
san,CVC,3,0
sen,CVC,3,0
sin,CVC,3,0
son,CVC,3,0
sun,CVC,3,0
sūn,CVC,3,0
šan,CVC,3,0
šen,CVC,3,0
šon,CVC,3,0
šun,CVC,3,0
šūn,CVC,3,0
tan,CVC,3,0
dan,CVC,3,0
ten,CVC,3,0
den,CVC,3,0
tin,CVC,3,0
din,CVC,3,0
ton,CVC,3,0
don,CVC,3,0
tun,CVC,3,0
dun,CVC,3,0
lan,CVC,3,0
len,CVC,3,0
lin,CVC,3,0
lon,CVC,3,0
lun,CVC,3,0
lūn,CVC,3,0
man,CVC,3,0
men,CVC,3,0
min,CVC,3,0
mon,CVC,3,0
mun,CVC,3,0
mūn,CVC,3,0
can,CVC,3,0
cen,CVC,3,0
cin,CVC,3,0
con,CVC,3,0
cun,CVC,3,0
cūn,CVC,3,0
jan,CVC,3,0
jen,CVC,3,0
jin,CVC,3,0
jon,CVC,3,0
jun,CVC,3,0
jūn,CVC,3,0
yan,CVC,3,0
yen,CVC,3,0
yon,CVC,3,0
yun,CVC,3,0
yūn,CVC,3,0
ken,CVC,3,0
gen,CVC,3,0
hen,CVC,3,0
kin,CVC,3,0
gin,CVC,3,0
hin,CVC,3,0
kun,CVC,3,0
gun,CVC,3,0
hun,CVC,3,0
k'an,CVC,3,1
g'an,CVC,3,1
h'an,CVC,3,1
k'on,CVC,3,1
g'on,CVC,3,1
h'on,CVC,3,1
ran,CVC,3,0
ren,CVC,3,0
rin,CVC,3,0
ron,CVC,3,0
run,CVC,3,0
rūn,CVC,3,0
fan,CVC,3,0
fen,CVC,3,0
fin,CVC,3,0
fon,CVC,3,0
fun,CVC,3,0
fūn,CVC,3,0
wan,CVC,3,0
wen,CVC,3,0
ts'an,CVC,3,1
ts'en,CVC,3,1
ts'in,CVC,3,1
ts'on,CVC,3,1
ts'un,CVC,3,1
dzan,CVC,3,1
dzen,CVC,3,1
dzon,CVC,3,1
dzun,CVC,3,1
žan,CVC,3,1
žen,CVC,3,1
žin,CVC,3,1
žon,CVC,3,1
žun,CVC,3,1
žūn,CVC,3,1
